id,counterparty_id,amount,received_at,reference,original_reference,memo,simulated,duplicate_of,meta
9808a7f5f5446817c3ebf7a804111d53-p1,5c96a1394a3f018245c5eac45e612efb,3268,2017-11-02T00:15:49+00:00,9808a7f5f5446817c3ebf7a804111d53,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 3}"
c1055c3c83d15a7d43c7b6e3f283ae53-p1,b919a9e7991eda8bd286ed35446ee463,19427,2017-11-02T02:35:44+00:00,c1055c3c83d15a7d43c7b6e3f283ae53,,,False,,"{""payment_type"": ""boleto"", ""payment_sequential"": 1, ""payment_installments"": 1}"
ed130013de4053d7678825d4d8e7deb1-p1,0d5bb565f5c4f342681cc1bbaf817f5d,4576,2017-11-01T00:55:21+00:00,ed130013de4053d7678825d4d8e7deb1,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 1}"
08b450b388221bfe5472ed23887a7564-p1,25e840a7c51ad06c616051ef05610c86,16741,2017-11-01T02:06:10+00:00,08b450b388221bfe5472ed23887a7564,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 2}"
af29f3d2878958723720a759676814e7-p3,738ffcf1017b584e9d2684b36e07469c,287,2017-11-01T13:31:20+00:00,af29f3d2878958723720a759676814e7,,,False,,"{""payment_type"": ""voucher"", ""payment_sequential"": 3, ""payment_installments"": 1}"
af29f3d2878958723720a759676814e7-p1,738ffcf1017b584e9d2684b36e07469c,22793,2017-11-01T13:31:20+00:00,af29f3d2878958723720a759676814e7,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 10}"
af29f3d2878958723720a759676814e7-p2,738ffcf1017b584e9d2684b36e07469c,1712,2017-11-01T13:31:20+00:00,af29f3d2878958723720a759676814e7,,,False,,"{""payment_type"": ""voucher"", ""payment_sequential"": 2, ""payment_installments"": 1}"
8444b7e4c41755b890c97056b19e4713-p1,af721b7063b42fe531599b5fe3f75b59,4000,2017-11-02T02:27:30+00:00,8444b7e4c41755b890c97056b19e4713,,,False,,"{""payment_type"": ""boleto"", ""payment_sequential"": 1, ""payment_installments"": 1}"
029f37989dcd7c9b928028086d68034b-p1,c8f4f0e903ec33304d2c7a5301a94c7e,8615,2017-11-01T08:15:19+00:00,029f37989dcd7c9b928028086d68034b,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 2}"
71a49be8a212eb4987b67078140a1434-p1,3fc38cc525568f74580977683ec6d4ad,7656,2017-11-01T14:31:33+00:00,71a49be8a212eb4987b67078140a1434,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 1}"
